link,label (noise)
http://dx.doi.org/10.1257/aer.102.6.2859,0
http://dx.doi.org/10.1257/aer.103.2.1071,1
http://dx.doi.org/10.1257/aer.103.3.772,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2530,0
http://dx.doi.org/10.1257/aer.102.4.1378,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2562,0
http://dx.doi.org/10.1257/aer.103.6.2499,1
http://dx.doi.org/10.1257/aer.104.5.206,0
http://dx.doi.org/10.1257/aer.103.3.678,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.413,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.360,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.88,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.487,1
http://dx.doi.org/10.1257/aer.102.3.325,1
http://dx.doi.org/10.1257/aer.104.5.501,1
http://dx.doi.org/10.1257/aer.104.12.4071,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3286,1
http://dx.doi.org/10.1257/aer.103.3.135,0
http://dx.doi.org/10.1257/aer.104.5.457,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.476,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.724,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3400,1
http://dx.doi.org/10.1257/aer.102.3.371,1
http://dx.doi.org/10.1257/aer.102.3.407,1
http://dx.doi.org/10.1257/aer.103.3.238,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2309,1
http://dx.doi.org/10.1257/aer.103.3.387,1
http://dx.doi.org/10.1257/aer.102.2.1161,0
http://dx.doi.org/10.1257/aer.104.5.495,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2723,1
http://dx.doi.org/10.1257/aer.104.5.702,1
http://dx.doi.org/10.1257/aer.104.6.1467,1
http://dx.doi.org/10.1257/aer.103.6.2169,0
http://dx.doi.org/10.1257/aer.104.10.2975,0
http://dx.doi.org/10.1257/aer.102.3.502,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.718,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1629,0
http://dx.doi.org/10.1257/aer.102.1.396,1
http://dx.doi.org/10.1257/aer.103.3.79,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.721,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.36,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.2873,0
http://dx.doi.org/10.1257/aer.102.3.612,1
http://dx.doi.org/10.1257/aer.104.8.2567,1
http://dx.doi.org/10.1257/aer.104.12.4205,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.227,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.371,1
http://dx.doi.org/10.1257/aer.103.7.2811,0
http://dx.doi.org/10.1257/aer.103.5.1797,0
http://dx.doi.org/10.1257/aer.103.3.66,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3253,0
http://dx.doi.org/10.1257/aer.104.11.3529,1
http://dx.doi.org/10.1257/aer.103.2.663,1
http://dx.doi.org/10.1257/aer.103.3.184,0
http://dx.doi.org/10.1257/aer.103.1.415,0
http://dx.doi.org/10.1257/aer.102.6.2540,1
http://dx.doi.org/10.1257/aer.104.12.4184,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.948,0
http://dx.doi.org/10.1257/aer.104.5.56,1
http://dx.doi.org/10.1257/aer.102.3.441,1
http://dx.doi.org/10.1257/aer.102.3.424,1
http://dx.doi.org/10.1257/aer.104.5.575,1
http://dx.doi.org/10.1257/aer.104.5.245,0
http://dx.doi.org/10.1257/aer.104.3.931,1
http://dx.doi.org/10.1257/aer.103.1.1,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.695,1
http://dx.doi.org/10.1257/aer.103.4.1212,1
http://dx.doi.org/10.1257/aer.103.3.701,1
http://dx.doi.org/10.1257/aer.102.4.1663,1
http://dx.doi.org/10.1257/aer.103.3.293,1
http://dx.doi.org/10.1257/aer.104.6.1864,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.609,1
http://dx.doi.org/10.1257/aer.103.2.563,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.927,0
http://dx.doi.org/10.1257/aer.102.3.152,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.382,0
http://dx.doi.org/10.1257/aer.102.3.482,1
http://dx.doi.org/10.1257/aer.103.5.1830,1
http://dx.doi.org/10.1257/aer.103.3.344,1
http://dx.doi.org/10.1257/aer.103.3.451,0
http://dx.doi.org/10.1257/aer.102.1.469,1
http://dx.doi.org/10.1257/aer.104.5.507,1
http://dx.doi.org/10.1257/aer.104.12.4027,1
http://dx.doi.org/10.1257/aer.102.3.343,1
http://dx.doi.org/10.1257/aer.102.4.1764,1
http://dx.doi.org/10.1257/aer.102.3.250,0
http://dx.doi.org/10.1257/aer.104.4.1120,1
http://dx.doi.org/10.1257/aer.102.6.3033,0
http://dx.doi.org/10.1257/aer.103.3.605,0
http://dx.doi.org/10.1257/aer.102.7.3731,1
http://dx.doi.org/10.1257/aer.102.3.238,1
http://dx.doi.org/10.1257/aer.102.3.453,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.313,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.625,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.402,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3427,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2487,1
http://dx.doi.org/10.1257/aer.104.2.687,1
http://dx.doi.org/10.1257/aer.102.1.504,1
http://dx.doi.org/10.1257/aer.104.5.557,1
http://dx.doi.org/10.1257/aer.104.2.564,1
http://dx.doi.org/10.1257/aer.104.5.609,1
http://dx.doi.org/10.1257/aer.104.2.707,1
http://dx.doi.org/10.1257/aer.103.3.274,0
http://dx.doi.org/10.1257/aer.103.3.523,0
http://dx.doi.org/10.1257/aer.104.7.2075,1
http://dx.doi.org/10.1257/aer.104.4.1439,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.303,1
http://dx.doi.org/10.1257/aer.103.3.xiii,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.442,1
http://dx.doi.org/10.1257/aer.102.7.3357,1
http://dx.doi.org/10.1257/aer.103.3.586,1
http://dx.doi.org/10.1257/aer.104.5.664,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1345,1
http://dx.doi.org/10.1257/aer.103.3.744,1
http://dx.doi.org/10.1257/aer.102.2.865,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3130,1
http://dx.doi.org/10.1257/aer.102.1.305,1
http://dx.doi.org/10.1257/aer.103.5.1553,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.323,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.253,1
http://dx.doi.org/10.1257/aer.104.5.645,1
http://dx.doi.org/10.1257/aer.104.9.2680,1
http://dx.doi.org/10.1257/aer.104.5.159,1
http://dx.doi.org/10.1257/aer.104.5.67,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1436,0
http://dx.doi.org/10.1257/aer.103.3.393,0
http://dx.doi.org/10.1257/aer.104.6.1793,1
http://dx.doi.org/10.1257/aer.103.3.257,0
http://dx.doi.org/10.1257/aer.103.1.80,1
http://dx.doi.org/10.1257/aer.104.3.1072,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.277,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.49,0
http://dx.doi.org/10.1257/aer.102.7.3140,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.304,1
http://dx.doi.org/10.1257/aer.103.3.168,1
http://dx.doi.org/10.1257/aer.103.3.467,1
,1
http://dx.doi.org/10.1257/aer.104.5.360,1
http://dx.doi.org/10.1257/aer.104.5.116,0
http://dx.doi.org/10.1257/aer.104.8.2482,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1616,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.975,1
http://dx.doi.org/10.1257/aer.103.3.284,1
http://dx.doi.org/10.1257/aer.102.1.272,1
http://dx.doi.org/10.1257/aer.102.1.60,1
http://dx.doi.org/10.1257/aer.104.12.3814,1
http://dx.doi.org/10.1257/aer.104.5.595,0
http://dx.doi.org/10.1257/aer.103.3.214,1
http://dx.doi.org/10.1257/aer.104.5.528,1
http://dx.doi.org/10.1257/aer.102.3.47,1
http://dx.doi.org/10.1257/aer.102.3.549,1
http://dx.doi.org/10.1257/aer.104.4.1244,1
http://dx.doi.org/10.1257/aer.104.4.1320,1
http://dx.doi.org/10.1257/aer.104.1.123,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.1,0
http://dx.doi.org/10.1257/aer.103.3.43,1
http://dx.doi.org/10.1257/aer.104.5.452,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.877,1
http://dx.doi.org/10.1257/aer.102.3.41,1
http://dx.doi.org/10.1257/aer.104.3.721,0
http://dx.doi.org/10.1257/aer.103.2.732,1
http://dx.doi.org/10.1257/aer.103.3.73,1
http://dx.doi.org/10.1257/aer.104.6.1857,0
http://dx.doi.org/10.1257/aer.102.4.1596,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.1842,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.519,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.669,1
http://dx.doi.org/10.1257/aer.103.3.591,1
http://dx.doi.org/10.1257/aer.103.3.669,1
http://dx.doi.org/10.1257/aer.102.3.429,0
http://dx.doi.org/10.1257/aer.102.3.711,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.83,0
http://dx.doi.org/10.1257/aer.102.2.1140,1
http://dx.doi.org/10.1257/aer.104.4.1446,1
http://dx.doi.org/10.1257/aer.103.3.428,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.81,1
http://dx.doi.org/10.1257/aer.102.3.231,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2226,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.387,1
http://dx.doi.org/10.1257/aer.102.3.606,1
http://dx.doi.org/10.1257/aer.104.4.1288,1
http://dx.doi.org/10.1257/aer.102.3.305,1
http://dx.doi.org/10.1257/aer.103.3.534,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.334,1
http://dx.doi.org/10.1257/aer.104.9.2830,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.263,1
http://dx.doi.org/10.1257/aer.102.4.1540,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.406,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.788,0
http://dx.doi.org/10.1257/aer.103.5.2041,1
http://dx.doi.org/10.1257/aer.103.7.3071,1
http://dx.doi.org/10.1257/aer.102.2.810,0
http://dx.doi.org/10.1257/aer.103.3.623,1
http://dx.doi.org/10.1257/aer.102.3.24,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.429,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2108,1
http://dx.doi.org/10.1257/aer.103.7.2643,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.45,0
http://dx.doi.org/10.1257/aer.104.12.3885,1
http://dx.doi.org/10.1257/aer.102.7.3761,1
http://dx.doi.org/10.1257/aer.103.3.141,1
http://dx.doi.org/10.1257/aer.102.3.493,1
http://dx.doi.org/10.1257/aer.102.3.59,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2277,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.329,0
http://dx.doi.org/10.1257/aer.104.10.3154,1
http://dx.doi.org/10.1257/aer.102.1.608,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3019,1
http://dx.doi.org/10.1257/aer.102.3.107,1
http://dx.doi.org/10.1257/aer.103.2.1006,1
http://dx.doi.org/10.1257/aer.102.6.3004,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.77,1
http://dx.doi.org/10.1257/aer.104.7.2185,0
http://dx.doi.org/10.1257/aer.104.6.1630,1
http://dx.doi.org/10.1257/aer.103.7.3084,1
http://dx.doi.org/10.1257/aer.104.5.171,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.393,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.991,1
http://dx.doi.org/10.1257/aer.104.2.656,1
http://dx.doi.org/10.1257/aer.102.3.508,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1561,0
http://dx.doi.org/10.1257/aer.104.5.649,0
http://dx.doi.org/10.1257/aer.103.3.719,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.471,1
http://dx.doi.org/10.1257/aer.104.6.1777,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2003,1
http://dx.doi.org/10.1257/aer.102.5.2237,0
http://dx.doi.org/10.1257/aer.102.3.1,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.558,0
http://dx.doi.org/10.1257/aer.104.1.291,1
http://dx.doi.org/10.1257/aer.102.7.3749,1
http://dx.doi.org/10.1257/aer.104.9.2763,1
http://dx.doi.org/10.1257/aer.104.7.2014,1
http://dx.doi.org/10.1257/aer.102.5.1927,1
http://dx.doi.org/10.1257/aer.103.3.244,0
http://dx.doi.org/10.1257/aer.104.5.195,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2271,1
http://dx.doi.org/10.1257/aer.104.5.342,1
http://dx.doi.org/10.1257/aer.102.7.3531,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.744,1
http://dx.doi.org/10.1257/aer.102.3.447,0
http://dx.doi.org/10.1257/aer.103.2.1054,1
http://dx.doi.org/10.1257/aer.102.5.2358,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.593,0
http://dx.doi.org/10.1257/aer.103.3.203,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.56,1
http://dx.doi.org/10.1257/aer.104.5.148,0
http://dx.doi.org/10.1257/aer.103.4.1398,1
http://dx.doi.org/10.1257/aer.104.3.1063,1
http://dx.doi.org/10.1257/aer.102.6.2674,0
http://dx.doi.org/10.1257/aer.103.1.220,0
http://dx.doi.org/10.1257/aer.102.1.1,1
http://dx.doi.org/10.1257/aer.102.3.294,0
http://dx.doi.org/10.1257/aer.102.1.131,1
http://dx.doi.org/10.1257/aer.102.3.570,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.212,1
http://dx.doi.org/10.1257/aer.104.5.329,0
http://dx.doi.org/10.1257/aer.102.7.3249,1
http://dx.doi.org/10.1257/aer.103.3.508,1
http://dx.doi.org/10.1257/aer.104.8.2421,0
http://dx.doi.org/10.1257/aer.102.2.994,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1637,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.120,0
http://dx.doi.org/10.1257/aer.103.7.2752,1
http://dx.doi.org/10.1257/aer.104.2.422,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.1.341,1
articles,0
http://dx.doi.org/10.1257/aer.104.1.252,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.2955,1
http://dx.doi.org/10.1257/aer.104.5.463,1
http://dx.doi.org/10.1257/aer.104.5.304,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1238,1
http://dx.doi.org/10.1257/aer.103.1.257,1
http://dx.doi.org/10.1257/aer.102.7.3561,0
http://dx.doi.org/10.1257/aer.103.3.648,0
http://dx.doi.org/10.1257/aer.102.3.620,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.176,1
http://dx.doi.org/10.1257/aer.104.1.323,1
http://dx.doi.org/10.1257/aer.104.5.552,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.115,1
http://dx.doi.org/10.1257/aer.102.3.95,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.2899,1
http://dx.doi.org/10.1257/aer.102.3.360,1
http://dx.doi.org/10.1257/aer.103.3.570,1
http://dx.doi.org/10.1257/aer.102.5.2183,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3047,1
http://dx.doi.org/10.1257/aer.102.3.337,1
http://dx.doi.org/10.1257/aer.103.3.48,0
http://dx.doi.org/10.1257/aer.104.5.234,0
http://dx.doi.org/10.1257/aer.102.5.2111,1
http://dx.doi.org/10.1257/aer.104.11.3668,1
http://dx.doi.org/10.1257/aer.102.4.1619,1
http://dx.doi.org/10.1257/aer.103.1.378,0
http://dx.doi.org/10.1257/aer.102.7.3462,1
http://dx.doi.org/10.1257/aer.104.5.425,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2205,1
http://dx.doi.org/10.1257/aer.102.3.349,1
http://dx.doi.org/10.1257/aer.102.3.261,1
http://dx.doi.org/10.1257/aer.102.4.1206,0
http://dx.doi.org/10.1257/aer.103.3.263,0
http://dx.doi.org/10.1257/aer.104.3.1014,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1312,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1092,1
http://dx.doi.org/10.1257/aer.102.6.2700,0
http://dx.doi.org/10.1257/aer.104.7.1875,0
http://dx.doi.org/10.1257/aer.104.1.27,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.577,0
http://dx.doi.org/10.1257/aer.104.7.1909,1
http://dx.doi.org/10.1257/aer.103.2.1034,0
http://dx.doi.org/10.1257/aer.104.11.3565,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.741,1
http://dx.doi.org/10.1257/aer.103.3.563,1
http://dx.doi.org/10.1257/aer.103.6.2227,1
http://dx.doi.org/10.1257/aer.104.9.2900,1
http://dx.doi.org/10.1257/aer.103.5.1697,1
http://dx.doi.org/10.1257/aer.104.5.37,0
http://dx.doi.org/10.1257/aer.104.6.1667,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.700,0
http://dx.doi.org/10.1257/aer.102.7.3277,1
http://dx.doi.org/10.1257/aer.102.3.179,1
http://dx.doi.org/10.1257/aer.104.5.406,1
http://dx.doi.org/10.1257/aer.103.1.510,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.603,1
http://dx.doi.org/10.1257/aer.102.3.691,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.526,1
http://dx.doi.org/10.1257/aer.102.3.672,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.288,1
http://dx.doi.org/10.1257/aer.103.7.2683,1
http://dx.doi.org/10.1257/aer.102.3.526,1
http://dx.doi.org/10.1257/aer.102.3.314,1
http://dx.doi.org/10.1257/aer.104.5.638,1
http://dx.doi.org/10.1257/aer.103.3.617,1
http://dx.doi.org/10.1257/aer.102.3.207,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.454,1
http://dx.doi.org/10.1257/aer.103.3.129,1
http://dx.doi.org/10.1257/aer.102.3.267,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.460,0
http://dx.doi.org/10.1257/aer.104.6.1551,0
http://dx.doi.org/10.1257/aer.104.5.614,0
http://dx.doi.org/10.1257/aer.104.5.212,0
http://dx.doi.org/10.1257/aer.104.8.2552,0
http://dx.doi.org/10.1257/aer.103.3.375,1
http://dx.doi.org/10.1257/aer.102.5.2301,1
http://dx.doi.org/10.1257/aer.104.10.3115,0
http://dx.doi.org/10.1257/aer.104.4.1368,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.263,0
http://dx.doi.org/10.1257/aer.104.5.563,0
http://dx.doi.org/10.1257/aer.104.11.3459,1
http://dx.doi.org/10.1257/aer.102.6.2923,1
http://dx.doi.org/10.1257/aer.104.5.165,1
